customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,charge_per_month,tenure_category_1-2yr,tenure_category_2-4yr,tenure_category_4-6yr,tenure_category_6+yr
7590-VHVEG,0,1,29.85,29.85,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,14.925,False,False,False,False
5575-GNVDE,0,34,56.95,1889.5,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,53.98571428571429,False,True,False,False
3668-QPYBK,0,2,53.85,108.15,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,36.050000000000004,False,False,False,False
7795-CFOCW,0,45,42.3,1840.75,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,40.016304347826086,False,True,False,False
9237-HQITU,0,2,70.7,151.65,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,50.550000000000004,False,False,False,False
9305-CDSKC,0,8,99.65,820.5,1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,91.16666666666667,False,False,False,False
1452-KIOVK,0,22,89.1,1949.4,0,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,84.75652173913043,True,False,False,False
6713-OKOMC,0,10,29.75,301.9,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,27.44545454545454,False,False,False,False
7892-POOKP,0,28,104.8,3046.05,1,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,105.03620689655173,False,True,False,False
6388-TABGU,0,62,56.15,3487.95,0,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,55.364285714285714,False,False,True,False
9763-GRSKD,0,13,49.95,587.45,0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,41.96071428571429,True,False,False,False
7469-LKBCI,0,16,18.95,326.8,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,19.223529411764705,True,False,False,False
8091-TTVAX,0,58,100.35,5681.1,0,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,96.28983050847458,False,False,True,False
0280-XJGEX,0,49,103.7,5036.3,1,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,100.726,False,False,True,False
5129-JLPIS,0,25,105.5,2686.05,0,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,103.3096153846154,False,True,False,False
3655-SNQYZ,0,69,113.25,7895.15,0,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,112.78785714285713,False,False,True,False
8191-XWSZG,0,52,20.65,1022.95,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,19.300943396226415,False,False,True,False
9959-WOFKT,0,71,106.7,7382.25,0,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,102.53125,False,False,True,False
4190-MFLUW,0,10,55.2,528.35,1,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,48.03181818181818,False,False,False,False
4183-MYFRB,0,21,90.05,1862.9,0,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,84.67727272727274,True,False,False,False
8779-QRDMV,1,1,39.65,39.65,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,19.825,False,False,False,False
1680-VDCWW,0,12,19.8,202.25,0,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,15.557692307692308,False,False,False,False
1066-JKSGK,0,1,20.15,20.15,1,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,10.075,False,False,False,False
3638-WEABW,0,58,59.9,3505.1,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,59.40847457627118,False,False,True,False
6322-HRPFA,0,49,59.6,2970.3,0,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,59.406000000000006,False,False,True,False
6865-JZNKO,0,30,55.3,1530.6,0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,49.37419354838709,False,True,False,False
6467-CHFZW,0,47,99.35,4749.15,1,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,98.940625,False,True,False,False
8665-UTDHZ,0,1,30.2,30.2,1,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,15.1,False,False,False,False
5248-YGIJN,0,72,90.25,6369.45,0,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,87.2527397260274,False,False,True,False
8773-HHUOZ,0,17,64.7,1093.1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,60.727777777777774,True,False,False,False
3841-NFECX,1,71,96.35,6766.95,0,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,93.98541666666667,False,False,True,False
4929-XIHVW,1,2,95.5,181.65,0,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,60.550000000000004,False,False,False,False
6827-IEAUQ,0,27,66.15,1874.45,0,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,66.94464285714285,False,True,False,False
7310-EGVHZ,0,1,20.2,20.2,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,10.1,False,False,False,False
3413-BMNZE,1,1,45.25,45.25,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22.625,False,False,False,False
6234-RAAPL,0,72,99.9,7251.7,0,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,99.33835616438355,False,False,True,False
6047-YHPVI,0,5,69.7,316.9,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,52.81666666666666,False,False,False,False
